State_name,County_name,avgAQI_o3,avgAQI_co,avgAQI_no2,avgAQI_so2,avgAQI_pm25,Population,Log_Population,Temperature,Wind,RH
Alabama,Baldwin,37.53617021,,,,30.21818182,212628,5.327620454,,,
Alabama,Clay,,,,,32.45762712,13367,4.126033948,,,
Alabama,Colbert,35.80894309,,,,30.48739496,54500,4.736396502,,,
Alabama,DeKalb,36.84401114,,,,32.88695652,71617,4.855016125,,,
Alabama,Elmore,34.01304348,,,,,81677,4.912099778,,,
Alabama,Etowah,38.20816327,,,,35.76106195,102755,5.011802964,,,
Alabama,Houston,32.65306122,,,,34.83898305,104346,5.018475805,,,
Alabama,Jefferson,36.64644236,5.173611111,20.30132939,13.58677686,38.12025316,659197,5.819015222,65.76036408,89.10908195,69.68769963
Alabama,Madison,39.49593496,,,,30.80508475,361046,5.557562538,,,
Alabama,Mobile,36.55888651,,,1.652046784,32.55855856,413955,5.616953133,,,
Alabama,Montgomery,36.99173554,,,,36.25641026,226646,5.355348059,,,
Alabama,Morgan,38.62761506,,,,31.4,118818,5.074882238,,,
Alabama,Russell,37.66255144,,,,37.2037037,57045,4.756217584,,,
Alabama,Shelby,37.05761317,,,3.156593407,,213605,5.329611414,,,
Alabama,Sumter,32.53097345,,,,,12687,4.10335894,,,
Alabama,Talladega,,,,,35.30172414,80065,4.903442708,,,
Alabama,Tuscaloosa,34.9218107,,,,33.31818182,207811,5.317668532,,,
Alaska,Anchorage,,12.63736264,,,,294356,5.468872893,,,
Alaska,Denali,32.45604396,,,,,2074,3.316808752,,89.03896543,
Alaska,Fairbanks North Star,20.52413793,5.787965616,21.06442577,15.08815427,,99703,4.998708226,,105.5527362,
Alaska,Fairbanks North Star ,,,,,33.79909366,99703,4.998708226,31.31383347,,17.69673186
Alaska,Juneau ,,,,,21.73333333,32094,4.506423848,,,
Alaska,Matanuska-Susitna,25.96052632,,,,,106532,5.02748008,,,
Arizona,Apache,,,,,10.89655172,71606,4.854949414,,,
Arizona,Cochise,46.82465753,,,,,124756,5.096061442,63.13078462,78.24396735,40.92600001
Arizona,Coconino,46.69863014,,,,,140776,5.148528621,53.89714731,93.32102656,39.16030158
Arizona,Gila,48.58791209,,,25.90899471,,53501,4.7283619,,,
Arizona,La Paz,45.40883978,1.765472313,,,,20601,4.313888302,,,
